"","date","E2","E5","E1","E3","P1","P3","P4","P6","P7","P8","P9","P2","E4","P5"
"107",2019-10-05 10:00:00,7.4,8.6,NA,6.9,11.7963333333333,8.63066666666667,11.508,18.3453333333333,7.37533333333333,5.87529411764706,8.82733333333333,11.0083333333333,NA,NA
"108",2019-10-05 11:00:00,5.5,10.2,7.6,10.5,13.2123333333333,12.8266666666667,14.0306666666667,26.2458064516129,7.96,6.4665625,9.562,11.5533333333333,NA,NA
"109",2019-10-05 12:00:00,10.6,6.6,12.6,7.9,11.1253333333333,10.1833333333333,11.4916666666667,26.5141935483871,6.576,8.36,10.3093103448276,13.099375,NA,NA
"110",2019-10-05 13:00:00,6.4,5.7,7.1,3.3,9.368,9.40933333333333,9.11333333333333,15.1263333333333,7.40666666666667,7.5590625,8.45133333333333,9.90424242424242,NA,NA
"111",2019-10-05 14:00:00,5.6,7.3,12.4,4.1,6.48366666666667,9.586,7.07566666666667,11.642,10.0293333333333,6.39161290322581,8.33333333333333,10.0113333333333,NA,NA
"112",2019-10-05 15:00:00,4,8,9,4.2,4.40666666666667,8.356,7.24866666666667,7.50066666666667,10.203,5.67742857142857,7.28466666666667,8.79166666666667,NA,NA
"113",2019-10-05 16:00:00,0.9,6.4,7,1.9,4.53433333333333,8.78633333333333,5.488,5.415625,9.047,6.5290625,7.26366666666667,8.396,NA,NA
"114",2019-10-05 17:00:00,8.5,3.2,6.2,4,5.31333333333333,8.26533333333333,5.61933333333333,5.78363636363636,8.54033333333333,5.94393939393939,6.333,7.59566666666667,NA,NA
"115",2019-10-05 18:00:00,10.3,8.5,4.8,3.8,5.27464285714286,8.692,5.68966666666667,6.51566666666667,7.19648648648649,5.70483870967742,5.27366666666667,7.647,NA,NA
"116",2019-10-05 19:00:00,6.4,4.6,7.8,3.3,4.88433333333333,6.75733333333333,5.28466666666667,6.67551724137931,6.61714285714286,4.84647058823529,5.14566666666667,6.86366666666667,NA,NA
"117",2019-10-05 20:00:00,5.7,9,6.8,6.7,4.49233333333333,6.272,4.71433333333333,5.81454545454545,6.12026315789474,4.5169696969697,4.779,6.90103448275862,NA,NA
"118",2019-10-05 21:00:00,2.6,11.3,6.6,7.8,4.72533333333333,5.52666666666667,4.47566666666667,6.46333333333333,8.146,4.2569696969697,5.44533333333333,8.10833333333333,NA,NA
"119",2019-10-05 22:00:00,8.1,5.7,8.2,3.8,12.8446666666667,11.3003333333333,6.97433333333333,17.4257142857143,11.0056666666667,6.27,7.653,11.1,NA,NA
"120",2019-10-05 23:00:00,7.1,5.7,11.7,5.9,9.43133333333333,9.645,8.44966666666667,10.3796428571429,9.44633333333333,7.86454545454545,7.104,9.39566666666667,NA,NA
"121",2019-10-06 00:00:00,9.5,9.9,7.4,8.4,7.15733333333333,14.3076666666667,11.493,12.65,9.34821428571429,6.13764705882353,8.79233333333333,11.6976666666667,NA,NA
"122",2019-10-06 01:00:00,7.8,5.9,10.4,8.9,11.4083333333333,14.4676666666667,13.5806666666667,16.8578947368421,13.383488372093,10.1864705882353,12.1423333333333,14.8496774193548,NA,NA
"123",2019-10-06 02:00:00,9.5,8,10,10.9,11.6023333333333,11.3883333333333,10.997,14.2326666666667,11.7233333333333,11.289696969697,9.02433333333333,11.289,NA,NA
"124",2019-10-06 03:00:00,6,11,8,6.8,7.49633333333333,11.2563333333333,8.951,8.56533333333333,10.6846666666667,7.94774193548387,8.05266666666667,10.8096774193548,NA,NA
"125",2019-10-06 04:00:00,8.5,7.8,NA,6.6,6.64233333333333,9.92466666666667,7.29366666666667,7.10064516129032,9.44466666666667,5.23235294117647,7.57733333333333,10.1003333333333,NA,NA
"126",2019-10-06 05:00:00,7.9,8.3,7.8,10.5,5.70766666666667,8.477,6.71533333333333,6.87666666666667,6.24466666666667,5.11342857142857,7.20266666666667,7.48533333333333,NA,NA
"127",2019-10-06 06:00:00,4.9,5.6,10.8,12.1,7.11866666666667,8.851,7.233,8.15533333333333,8.175,8.03212121212121,7.93966666666667,9.87433333333333,NA,NA
"128",2019-10-06 07:00:00,7.8,13,9.6,8.2,8.786,10.9486666666667,9.09766666666667,13.109,10.351,6.459375,8.554,13.5196666666667,NA,NA
"129",2019-10-06 08:00:00,6.1,9.9,10.8,13.1,4.27266666666667,5.39466666666667,4.81533333333333,8.09903225806452,5.92866666666667,3.8609375,5.34366666666667,7.90066666666667,NA,NA
